EndpointID,EmailAddress,Account Length,PlanOptionA,PlanOptionB,PlanOptionC,UsageWeekdays,UsageWeekends,SharedWithFriend,LastEmailDelivered,LastEmailEngaged,Churn?
1,churn1@example.com,141,1,1,1,93,79,0,1569596990,1569274653,0
2,churn2@example.com,173,1,0,1,16,33,0,1569596990,1553699390,0
3,churn3@example.com,282,0,1,1,96,2,1,1569596990,1553699390,0
4,churn4@example.com,201,0,0,0,18,22,0,1569596990,1553699390,0
5,churn5@example.com,180,1,0,1,61,86,0,1569596990,1553699390,0
6,churn6@example.com,231,1,1,0,1,2,0,1568606449,1553699390,0
7,churn7@example.com,236,0,0,1,98,59,0,1569596990,1569279756,0
8,churn8@example.com,132,0,1,0,69,37,0,1569596990,1553699390,0
9,churn9@example.com,56,1,1,1,95,68,1,1569596990,1568923556,0
10,churn10@example.com,200,1,1,1,24,15,1,1568720850,1569417186,0
11,churn11@example.com,203,0,1,0,22,2,0,1568929953,1553699390,0
12,churn12@example.com,191,0,1,1,95,5,0,1569596990,1568720502,0
13,churn13@example.com,226,1,0,1,64,23,1,1569596990,1553699390,0
14,churn14@example.com,36,1,1,1,44,9,0,1569596990,1553699390,0
15,churn15@example.com,97,1,0,1,9,27,0,1568932609,1553699390,0
16,churn16@example.com,232,0,1,0,99,7,0,1569596990,1553699390,0
17,churn17@example.com,85,0,1,1,34,21,0,1569596990,1569424004,0
18,churn18@example.com,260,1,1,0,95,66,0,1569596990,1553699390,0
19,churn19@example.com,151,1,0,0,93,75,0,1569596990,1568929416,0
20,churn20@example.com,274,0,0,0,57,29,0,1569596990,1568967803,0
21,churn21@example.com,298,0,0,0,53,63,1,1568998273,1568684938,0
22,churn22@example.com,37,1,0,1,96,42,1,1568837156,1553699390,0
23,churn23@example.com,34,1,1,0,31,48,0,1569014743,1553699390,0
24,churn24@example.com,55,0,1,1,69,14,1,1569596990,1569306883,0
25,churn25@example.com,82,0,1,1,70,37,0,1569596990,1553699390,0
26,churn26@example.com,231,0,0,0,48,94,0,1569437491,1569530721,0
27,churn27@example.com,104,0,0,0,72,59,0,1569596990,1553699390,0
28,churn28@example.com,289,0,1,1,27,62,0,1569596990,1553699390,0
29,churn29@example.com,114,1,1,1,59,36,1,1569596990,1553699390,0
30,churn30@example.com,97,0,1,0,25,6,0,1569581793,1553699390,0
31,churn31@example.com,257,1,1,1,8,59,0,1569596990,1568984750,0
32,churn32@example.com,290,0,1,1,14,61,0,1569596990,1553699390,0
33,churn33@example.com,186,0,1,1,51,15,0,1569596990,1553699390,0
34,churn34@example.com,100,1,1,0,35,32,0,1568684207,1553699390,0
35,churn35@example.com,73,0,0,1,76,71,0,1569337424,1553699390,0
36,churn36@example.com,184,0,0,0,29,21,0,1569596990,1553699390,0
37,churn37@example.com,127,1,1,1,71,79,0,1569596990,1553699390,0
38,churn38@example.com,190,1,1,0,57,73,0,1569596990,1568700478,0
39,churn39@example.com,220,0,1,0,59,3,0,1569596990,1568922652,0
40,churn40@example.com,174,1,1,1,33,97,1,1569596990,1569466829,0
41,churn41@example.com,145,1,1,1,79,23,0,1569596990,1569249120,0
42,churn42@example.com,217,1,1,0,44,63,0,1569596990,1553699390,0
43,churn43@example.com,268,1,0,0,74,41,0,1568784482,1553699390,0
44,churn44@example.com,196,1,0,0,45,40,1,1569596990,1553699390,0
45,churn45@example.com,99,1,0,1,56,80,0,1569044054,1553699390,0
46,churn46@example.com,85,0,0,1,63,2,0,1569596990,1553699390,0
47,churn47@example.com,230,1,0,0,44,30,0,1569596990,1553699390,0
48,churn48@example.com,56,0,0,0,28,53,0,1569310787,1569416679,0
49,churn49@example.com,85,1,1,0,81,73,0,1569596990,1553699390,0
50,churn50@example.com,186,0,0,1,12,24,0,1569596990,1553699390,0
51,churn51@example.com,266,1,0,1,2,84,0,1569596990,1553699390,0
52,churn52@example.com,69,0,1,1,42,29,0,1569596990,1553699390,0
53,churn53@example.com,132,0,1,0,42,56,0,1569596990,1553699390,0
54,churn54@example.com,166,0,0,1,84,54,0,1569596990,1553699390,0
55,churn55@example.com,257,1,0,0,6,61,0,1569596990,1553699390,0
56,churn56@example.com,234,0,0,0,0,57,0,1569596990,1553699390,0
57,churn57@example.com,218,1,1,1,92,38,0,1569596990,1569528252,0
58,churn58@example.com,272,0,0,0,62,94,0,1569596990,1569046872,0
59,churn59@example.com,150,1,1,1,58,87,0,1569596990,1569112594,0
60,churn60@example.com,180,1,1,0,79,99,0,1569596990,1553699390,0
61,churn61@example.com,52,0,1,0,12,48,0,1569596990,1553699390,0
62,churn62@example.com,199,1,1,0,72,12,1,1569596990,1568966969,0
63,churn63@example.com,132,1,0,0,60,2,0,1569048144,1568625359,0
64,churn64@example.com,79,0,0,1,59,23,0,1569596990,1553699390,0
65,churn65@example.com,34,0,0,0,73,21,0,1569407349,1569532861,0
66,churn66@example.com,162,1,0,0,12,8,0,1568710437,1553699390,0
67,churn67@example.com,245,1,1,1,59,50,0,1569596990,1568909624,0
68,churn68@example.com,272,1,1,1,90,50,0,1569596990,1553699390,0
69,churn69@example.com,254,1,0,1,86,73,0,1569596990,1553699390,0
70,churn70@example.com,293,1,1,0,53,7,0,1569596990,1568795999,0
71,churn71@example.com,157,1,1,1,47,37,1,1569596990,1553699390,0
72,churn72@example.com,249,0,0,0,14,9,0,1569596990,1553699390,0
73,churn73@example.com,145,0,1,0,73,27,0,1569596990,1553699390,0
74,churn74@example.com,216,1,1,0,70,76,0,1569213783,1553699390,0
75,churn75@example.com,242,1,0,0,16,33,0,1569596990,1569064717,0
76,churn76@example.com,215,1,1,1,89,87,0,1568697767,1569134572,0
77,churn77@example.com,40,0,1,0,49,76,0,1569467774,1568701271,0
78,churn78@example.com,243,1,1,1,67,56,0,1569596990,1568778348,0
79,churn79@example.com,139,0,0,0,92,28,0,1569596990,1553699390,0
80,churn80@example.com,262,0,0,0,81,67,0,1568932752,1569228735,0
81,churn81@example.com,164,1,1,1,42,9,0,1569596990,1553699390,0
82,churn82@example.com,222,0,1,0,67,99,0,1569412619,1569036727,0
83,churn83@example.com,237,1,1,0,87,78,0,1569596990,1568758803,0
84,churn84@example.com,179,1,1,1,86,14,0,1569596990,1569389367,0
85,churn85@example.com,197,0,0,0,94,29,0,1569596990,1568659693,0
86,churn86@example.com,134,1,0,0,53,29,0,1569596990,1553699390,0
87,churn87@example.com,264,1,1,1,99,61,0,1569596990,1569252300,0
88,churn88@example.com,237,0,0,1,10,30,1,1569596990,1553699390,0
89,churn89@example.com,177,0,0,0,57,80,0,1569596990,1568976487,0
90,churn90@example.com,280,1,0,0,80,59,1,1569596990,1553699390,0
91,churn91@example.com,172,0,1,0,17,1,0,1568949990,1568932623,0
92,churn92@example.com,245,0,0,1,44,87,0,1569596990,1569112555,0
93,churn93@example.com,110,1,0,1,12,61,0,1569596990,1553699390,0
94,churn94@example.com,271,1,0,1,17,52,0,1569596990,1569449187,0
