ChannelType,Id,Address,Attributes.AccountLength,Attributes.PlanOptionA,Attributes.PlanOptionB,Attributes.PlanOptionC,Attributes.UsageWeekdays,Attributes.UsageWeekends,Attributes.SharedWithFriend,Attributes.Churn
EMAIL,1,churn1@example.com,141,1,1,1,93,79,0,0
EMAIL,2,churn2@example.com,173,1,0,1,16,33,0,0
EMAIL,3,churn3@example.com,282,0,1,1,96,2,1,0
EMAIL,4,churn4@example.com,201,0,0,0,18,22,0,0
EMAIL,5,churn5@example.com,180,1,0,1,61,86,0,0
EMAIL,6,churn6@example.com,231,1,1,0,1,2,0,0
EMAIL,7,churn7@example.com,236,0,0,1,98,59,0,0
EMAIL,8,churn8@example.com,132,0,1,0,69,37,0,0
EMAIL,9,churn9@example.com,56,1,1,1,95,68,1,0
EMAIL,10,churn10@example.com,200,1,1,1,24,15,1,0
EMAIL,11,churn11@example.com,203,0,1,0,22,2,0,0
EMAIL,12,churn12@example.com,191,0,1,1,95,5,0,0
EMAIL,13,churn13@example.com,226,1,0,1,64,23,1,0
EMAIL,14,churn14@example.com,36,1,1,1,44,9,0,0
EMAIL,15,churn15@example.com,97,1,0,1,9,27,0,0
EMAIL,16,churn16@example.com,232,0,1,0,99,7,0,0
EMAIL,17,churn17@example.com,85,0,1,1,34,21,0,0
EMAIL,18,churn18@example.com,260,1,1,0,95,66,0,0
EMAIL,19,churn19@example.com,151,1,0,0,93,75,0,0
EMAIL,20,churn20@example.com,274,0,0,0,57,29,0,0
EMAIL,21,churn21@example.com,298,0,0,0,53,63,1,0
EMAIL,22,churn22@example.com,37,1,0,1,96,42,1,0
EMAIL,23,churn23@example.com,34,1,1,0,31,48,0,0
EMAIL,24,churn24@example.com,55,0,1,1,69,14,1,0
EMAIL,25,churn25@example.com,82,0,1,1,70,37,0,0
EMAIL,26,churn26@example.com,231,0,0,0,48,94,0,0
EMAIL,27,churn27@example.com,104,0,0,0,72,59,0,0
EMAIL,28,churn28@example.com,289,0,1,1,27,62,0,0
EMAIL,29,churn29@example.com,114,1,1,1,59,36,1,0
EMAIL,30,churn30@example.com,97,0,1,0,25,6,0,0
EMAIL,31,churn31@example.com,257,1,1,1,8,59,0,0
EMAIL,32,churn32@example.com,290,0,1,1,14,61,0,0
EMAIL,33,churn33@example.com,186,0,1,1,51,15,0,0
EMAIL,34,churn34@example.com,100,1,1,0,35,32,0,0
EMAIL,35,churn35@example.com,73,0,0,1,76,71,0,0
EMAIL,36,churn36@example.com,184,0,0,0,29,21,0,0
